curLapTime,speedX,steer,accel,brake,gear,trackPos,angle,damage,rpm,distRaced
2.116,12.2068,0.0,0.0,0.0,1,0.322294,0.0387179,0.0,1381.25,4.79175
2.138,12.1277,0.0,0.0,0.0,1,0.32221,0.0379574,0.0,1363.14,4.86877
2.16,12.1545,0.0,0.0,0.0,1,0.322224,0.0367586,0.0,1391.28,4.94568
2.182,12.0973,0.05,0.0,0.0,1,0.322344,0.035052,0.0,1390.13,5.02246
2.204,12.0746,0.1,0.0,0.0,1,0.322564,0.0329606,0.0,1382.54,5.099
2.226,12.0682,0.15000000000000002,0.0,0.0,1,0.322765,0.031275,0.0,1397.13,5.17554
2.248,12.0711,0.2,0.0,0.0,1,0.322846,0.0305402,0.0,1366.03,5.25195
2.27,12.0368,0.25,0.0,0.0,1,0.322824,0.0303161,0.0,1343.23,5.32837
2.292,12.0608,0.3,0.0,0.0,1,0.322724,0.030502,0.0,1383.74,5.40466
2.314,12.0124,0.35,0.0,0.0,1,0.322564,0.0309398,0.0,1283.13,5.48083
2.336,12.025,0.39999999999999997,0.0,0.0,1,0.322356,0.0316226,0.0,1491.48,5.55688
2.358,11.9527,0.44999999999999996,0.0,0.0,1,0.322113,0.0323512,0.0,1394.38,5.63281
2.38,12.0117,0.49999999999999994,0.0,0.0,1,0.321842,0.0332095,0.0,1360.43,5.70874
2.402,11.9442,0.5499999999999999,0.0,0.0,1,0.32155,0.0341575,0.0,1374.11,5.78442
2.424,11.977,0.6,0.0,0.0,1,0.321239,0.0351617,0.0,1355.1,5.86011
2.446,11.914,0.65,0.0,0.0,1,0.320905,0.0361807,0.0,1338.43,5.93567
2.468,11.9649,0.7000000000000001,1.0,0.0,1,0.320553,0.0372769,0.0,1367.29,6.01111
2.49,11.8822,0.7500000000000001,1.0,0.0,1,0.320188,0.0383441,0.0,1375.58,6.08655
2.512,11.9086,0.525,1.0,0.0,1,0.319814,0.0394494,0.0,1353.29,6.16174
2.534,11.8495,0.3675,1.0,0.0,2,0.31943,0.0405003,0.0,1368.21,6.23694
2.556,11.907,0.25725,1.0,0.0,2,0.319035,0.0415408,0.0,1344.4,6.31189
2.578,11.8361,0.18007499999999999,1.0,0.0,2,0.318674,0.0422885,0.0,1325.51,6.38684
2.6,11.8128,0.12605249999999998,1.0,0.0,2,0.318388,0.0425336,0.0,1358.33,6.46179
2.622,11.8261,0.08823674999999999,1.0,0.0,2,0.318186,0.0422546,0.0,1371.17,6.53662
2.644,11.7473,0.06176572499999999,1.0,0.0,2,0.318075,0.0415265,0.0,1338.91,6.61121
2.666,11.8031,0.043236007499999986,1.0,0.0,2,0.318053,0.0403764,0.0,1332.65,6.68579
2.688,11.7084,0.03026520524999999,1.0,0.0,2,0.318129,0.0387227,0.0,1342.6,6.76025
2.71,11.7495,0.02118564367499999,1.0,0.0,2,0.318314,0.0366361,0.0,1326.04,6.83447
2.732,11.6564,0.014829950572499992,1.0,0.0,2,0.318599,0.0340354,0.0,1343.94,6.90857
2.754,11.6731,0.010380965400749993,1.0,0.0,2,0.318989,0.0310661,0.0,1354.19,6.98267
2.776,11.5956,0.007266675780524995,1.0,0.0,2,0.319493,0.0276243,0.0,1328.58,7.0564
2.798,11.6566,0.0,1.0,0.0,2,0.320117,0.0237486,0.0,1319.46,7.13
2.82,11.5123,0.0,1.0,0.0,2,0.320848,0.0194709,0.0,1326.45,7.20337
2.842,11.5403,0.0,1.0,0.0,2,0.321695,0.0148231,0.0,1297.04,7.27649
2.864,11.8885,0.0,1.0,0.0,2,0.322668,0.00982111,0.0,1552.78,7.35071
2.886,12.2257,0.0,1.0,0.0,2,0.323786,0.00435084,0.0,1485.63,7.42725
2.908,12.7509,0.0,1.0,0.0,2,0.324925,-0.000536267,0.0,1512.29,7.50635
2.93,12.7682,0.0,0.0,0.0,2,0.325856,-0.00386173,0.0,957.884,7.58728
2.952,12.7628,0.0,0.0,0.0,2,0.326559,-0.00584346,0.0,974.847,7.66821
2.974,12.8368,0.0,0.0,0.0,2,0.327087,-0.00684482,0.0,991.824,7.74927
2.996,12.7383,0.0,0.0,0.0,2,0.327479,-0.00711137,0.0,1008.82,7.8302
3.018,12.8444,0.0,0.0,0.0,2,0.327777,-0.00697548,0.0,1025.82,7.91113
3.04,12.7904,0.0,0.0,0.0,2,0.328005,-0.00651914,0.0,1042.84,7.99219
3.062,12.7696,0.0,1.0,0.0,2,0.328181,-0.00593216,0.0,942.478,8.073
3.084,13.0323,0.0,1.0,0.0,2,0.328317,-0.00506193,0.0,974.515,8.15454
3.106,13.2187,0.0,1.0,0.0,2,0.32842,-0.00416929,0.0,1020.77,8.23767
3.128,13.4471,0.0,1.0,0.0,2,0.328499,-0.0031479,0.0,1037.2,8.32227
3.15,13.7472,0.0,1.0,0.0,2,0.328556,-0.00202352,0.0,1045.1,8.40833
